,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,On_time,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F
1566,5,159,4,38,1277,1,0,0,0,1,0,0,0,1,0,1,0,0
8247,4,270,10,9,5085,1,0,1,0,0,0,0,0,1,0,0,1,0
6115,5,193,2,1,4450,0,0,0,0,0,1,0,0,1,0,0,1,1
1450,3,285,6,27,2249,1,0,0,1,0,0,0,0,1,0,1,0,1
6823,2,164,5,4,1708,0,0,0,0,0,1,0,1,0,0,1,0,0
306,3,243,4,59,3838,1,0,0,0,1,0,0,0,1,1,0,0,0
8832,5,237,5,8,1150,1,0,0,0,1,0,0,0,1,0,0,1,1
4239,5,152,3,5,5502,1,0,1,0,0,0,0,1,0,1,0,0,1
10655,4,255,6,5,1708,1,0,0,0,0,1,0,0,1,0,1,0,0
8922,5,229,5,2,1975,1,0,0,0,1,0,0,0,1,0,0,1,0
730,4,264,3,16,2245,1,0,0,1,0,0,0,0,1,0,0,1,0
8987,5,235,2,10,4938,0,0,0,0,0,1,0,0,1,0,1,0,1
10955,2,125,4,5,5866,0,0,0,0,0,1,1,0,0,0,1,0,0
3891,3,243,2,7,4024,0,0,1,0,0,0,0,0,1,1,0,0,0
1658,5,240,7,47,2174,1,1,0,0,0,0,1,0,0,0,0,1,1
1076,3,195,3,10,2021,1,1,0,0,0,0,0,1,0,0,0,1,0
454,4,133,3,53,1467,1,0,0,1,0,0,0,0,1,0,1,0,1
7064,3,101,5,3,4807,0,1,0,0,0,0,0,0,1,0,1,0,1
10117,4,243,3,9,4277,0,0,0,0,0,1,0,1,0,1,0,0,1
319,4,213,4,39,2381,1,0,0,0,0,1,0,0,1,0,1,0,0
2862,5,225,3,29,2411,1,0,0,0,1,0,0,1,0,0,0,1,1
10339,4,265,2,6,4660,1,0,0,0,0,1,0,0,1,0,1,0,1
6565,5,259,5,3,1724,1,0,0,0,0,1,0,1,0,0,1,0,1
3866,2,157,2,9,5875,0,1,0,0,0,0,0,0,1,0,0,1,0
8314,7,281,4,6,1118,1,0,0,1,0,0,0,0,1,0,1,0,1
5752,4,236,3,10,4347,1,0,0,1,0,0,1,0,0,0,1,0,0
1468,5,224,3,48,2298,1,0,0,1,0,0,0,0,1,0,0,1,1
1072,4,198,2,5,2270,1,0,0,1,0,0,0,1,0,0,1,0,1
9299,3,173,2,5,4703,0,0,0,0,0,1,0,1,0,0,1,0,0
1551,3,246,3,45,3945,1,0,1,0,0,0,0,0,1,0,0,1,1
5272,6,286,4,9,1418,0,0,0,1,0,0,0,0,1,0,1,0,0
3326,4,156,3,3,5923,0,1,0,0,0,0,0,0,1,0,1,0,0
9199,4,240,4,10,5965,1,0,0,0,0,1,0,0,1,0,1,0,0
5606,5,135,2,4,5405,0,1,0,0,0,0,0,1,0,0,0,1,0
5585,5,261,6,4,5349,0,0,0,0,0,1,0,0,1,0,0,1,1
10104,2,252,4,4,4787,0,0,0,0,1,0,0,0,1,0,0,1,0
9624,6,244,5,1,1847,1,0,0,0,1,0,0,0,1,0,0,1,1
2979,5,208,8,62,3450,1,0,1,0,0,0,0,0,1,0,1,0,0
7775,4,239,3,1,5482,1,0,0,0,0,1,0,0,1,0,0,1,0
10348,5,187,4,1,4147,0,0,0,1,0,0,0,0,1,0,0,1,1
4007,5,229,3,1,5189,1,0,0,0,0,1,0,0,1,0,1,0,0
10231,2,232,6,2,5281,1,0,0,0,0,1,0,0,1,0,1,0,1
5446,4,236,3,4,4248,0,0,0,1,0,0,0,0,1,0,1,0,1
3626,4,227,3,10,5491,1,1,0,0,0,0,0,0,1,0,0,1,1
5707,4,149,2,9,4605,0,0,0,0,0,1,0,0,1,0,0,1,1
10475,5,258,5,9,1856,1,0,0,0,0,1,0,0,1,1,0,0,1
8699,3,162,3,7,5073,0,0,0,0,0,1,0,0,1,0,1,0,0
7422,6,255,4,9,1575,0,0,0,0,1,0,0,0,1,0,1,0,0
7771,3,167,4,1,5301,0,0,0,0,0,1,0,0,1,0,0,1,0
3103,3,159,3,46,1857,1,0,0,0,0,1,0,0,1,0,1,0,0
3507,3,206,3,6,5618,0,0,1,0,0,0,0,0,1,0,0,1,1
1469,3,167,3,42,1363,1,0,0,0,0,1,0,0,1,0,0,1,1
2017,3,231,2,12,2123,1,0,0,0,0,1,0,0,1,0,1,0,1
4769,4,259,2,8,4672,0,0,0,0,0,1,0,1,0,0,0,1,1
3287,3,135,3,9,4511,0,0,0,0,0,1,1,0,0,0,1,0,0
1654,3,180,3,56,1684,1,0,0,1,0,0,1,0,0,1,0,0,1
3340,4,186,2,7,4947,1,0,0,1,0,0,0,0,1,0,1,0,0
6896,6,291,4,9,1241,1,1,0,0,0,0,0,0,1,0,1,0,0
3491,4,223,3,3,5121,0,0,0,0,0,1,0,0,1,0,0,1,0
1049,6,237,5,63,2573,1,0,0,0,0,1,0,0,1,1,0,0,1
4678,5,210,3,6,5102,0,0,0,1,0,0,0,0,1,0,0,1,1
511,5,172,3,65,1667,1,0,0,0,0,1,0,0,1,0,0,1,0
8336,5,221,6,2,1781,1,1,0,0,0,0,0,1,0,0,0,1,0
16,3,143,2,6,1194,1,0,0,1,0,0,1,0,0,0,0,1,1
5562,4,228,4,1,5573,0,0,0,0,1,0,0,0,1,1,0,0,0
4183,4,257,3,1,5843,0,0,0,0,0,1,0,0,1,0,1,0,1
4324,4,277,5,3,1527,1,0,0,1,0,0,0,0,1,0,0,1,0
9877,3,243,3,6,4950,0,0,0,0,0,1,1,0,0,0,0,1,0
3175,2,134,3,6,4444,1,0,0,0,0,1,0,0,1,0,1,0,0
10240,5,189,4,10,4166,1,0,0,1,0,0,0,0,1,0,1,0,1
10031,4,139,3,7,4275,0,0,0,0,0,1,0,0,1,0,0,1,1
4270,5,101,5,1,4014,1,0,0,1,0,0,0,0,1,0,0,1,1
3735,6,170,3,10,4858,0,0,1,0,0,0,0,0,1,0,1,0,1
187,2,222,2,5,3778,1,0,0,0,0,1,0,0,1,0,0,1,0
6201,4,251,2,6,4376,0,0,1,0,0,0,0,0,1,0,0,1,1
9193,7,264,4,6,1265,0,0,0,0,0,1,1,0,0,0,0,1,0
7065,2,263,4,9,5390,0,0,1,0,0,0,0,0,1,0,0,1,0
3505,4,222,2,5,5660,0,0,0,0,0,1,0,0,1,0,1,0,0
634,3,141,3,6,1361,1,0,0,1,0,0,0,0,1,0,1,0,0
7989,4,173,4,1,5789,0,0,1,0,0,0,0,0,1,0,1,0,1
10424,5,272,2,1,4883,1,1,0,0,0,0,1,0,0,0,1,0,0
273,2,183,2,52,3199,1,0,1,0,0,0,1,0,0,0,0,1,1
2022,4,264,2,12,2203,1,0,0,0,1,0,0,0,1,0,0,1,1
9915,5,275,5,2,1816,0,0,1,0,0,0,0,0,1,0,1,0,1
4077,4,233,4,6,4705,1,0,1,0,0,0,0,0,1,0,1,0,1
8553,5,232,5,10,1512,0,0,1,0,0,0,0,0,1,0,1,0,0
9066,5,196,3,7,4084,1,0,0,0,1,0,0,0,1,0,0,1,0
10039,5,229,2,1,5294,1,0,0,0,0,1,0,0,1,0,0,1,1
8310,6,264,4,5,1397,0,0,0,0,1,0,0,0,1,0,0,1,0
10641,3,133,4,10,4571,0,0,1,0,0,0,0,0,1,0,1,0,1
5064,3,162,2,4,4495,0,0,0,0,1,0,1,0,0,0,1,0,0
1161,5,167,8,28,1921,1,0,1,0,0,0,0,0,1,0,1,0,0
8605,6,246,4,2,1581,0,0,0,0,0,1,0,1,0,0,0,1,0
3663,4,226,2,8,4526,0,0,1,0,0,0,0,0,1,0,1,0,1
2761,3,193,2,23,2728,1,0,0,0,0,1,0,0,1,0,0,1,1
9326,4,196,5,2,5840,0,1,0,0,0,0,1,0,0,0,1,0,1
4260,4,203,3,4,5699,0,0,0,0,1,0,1,0,0,0,1,0,1
8575,3,269,8,4,4290,0,0,0,0,0,1,0,0,1,0,0,1,1
7543,4,155,3,6,5033,1,0,0,0,0,1,1,0,0,0,0,1,0
5914,4,205,4,5,5264,0,0,0,1,0,0,0,0,1,0,0,1,1
9783,4,99,6,9,5903,0,0,1,0,0,0,0,0,1,0,0,1,0
3045,5,166,2,44,1647,1,0,1,0,0,0,0,0,1,0,1,0,0
822,3,268,3,33,3872,1,0,0,0,1,0,1,0,0,0,1,0,1
2369,4,144,3,9,1526,1,0,0,0,0,1,0,0,1,0,1,0,0
10013,4,266,3,10,4382,0,0,0,0,0,1,1,0,0,0,1,0,0
3603,4,275,6,9,1890,0,0,1,0,0,0,0,0,1,0,0,1,0
1994,3,165,3,1,1417,1,1,0,0,0,0,0,0,1,0,1,0,1
9831,2,269,2,3,5976,0,0,1,0,0,0,0,0,1,0,1,0,0
242,2,135,3,58,1734,1,1,0,0,0,0,0,0,1,0,1,0,0
6878,5,237,5,2,1429,1,1,0,0,0,0,0,0,1,0,0,1,1
1908,5,220,3,37,2294,1,0,0,0,1,0,0,1,0,0,1,0,0
3360,2,209,5,10,4623,1,0,0,0,1,0,0,0,1,0,0,1,1
6078,4,239,4,2,5502,0,0,0,0,1,0,0,0,1,1,0,0,0
10513,3,205,3,7,4490,0,0,0,0,0,1,0,0,1,0,1,0,1
1696,4,246,3,52,2440,1,0,0,1,0,0,0,0,1,0,0,1,1
7012,4,197,3,2,4410,0,0,0,1,0,0,0,0,1,0,1,0,0
3510,6,121,3,10,5208,0,0,0,0,1,0,0,0,1,0,0,1,1
2483,6,167,6,15,1278,1,0,0,0,0,1,0,0,1,0,1,0,1
2573,3,165,3,33,1500,1,0,0,0,0,1,0,0,1,0,0,1,0
4859,5,231,2,8,5743,1,0,0,0,0,1,0,0,1,0,1,0,0
2752,5,167,7,23,1691,1,0,0,1,0,0,1,0,0,0,0,1,1
9431,6,285,4,8,1028,1,0,0,0,0,1,0,1,0,0,1,0,0
4635,5,272,2,1,5412,0,0,1,0,0,0,0,1,0,0,1,0,1
9899,3,109,6,6,5457,1,0,0,0,0,1,0,0,1,0,1,0,1
3883,3,238,3,8,5337,1,0,0,0,0,1,0,0,1,0,0,1,1
2794,2,159,2,44,1213,1,0,0,1,0,0,0,0,1,0,1,0,1
4638,5,223,2,5,4424,1,0,0,0,1,0,0,1,0,0,1,0,0
4502,4,148,8,6,5700,0,1,0,0,0,0,0,1,0,0,0,1,0
7445,5,224,2,1,5603,0,0,0,0,0,1,0,0,1,0,0,1,0
2123,3,238,2,29,3728,1,0,0,0,0,1,0,0,1,0,1,0,1
618,4,133,4,64,1834,1,0,0,0,1,0,0,0,1,0,0,1,0
4778,4,245,2,5,5324,1,1,0,0,0,0,0,1,0,0,1,0,0
864,3,187,2,8,3725,1,0,0,0,1,0,0,0,1,1,0,0,0
8562,4,229,5,7,1049,1,0,0,0,1,0,0,0,1,0,1,0,0
6237,3,238,2,4,4206,0,0,1,0,0,0,0,0,1,0,0,1,1
5647,6,273,5,10,5756,1,0,0,0,0,1,0,0,1,0,0,1,0
10815,3,216,2,1,4350,1,0,1,0,0,0,0,1,0,0,1,0,1
1464,3,226,3,11,3708,1,0,0,0,1,0,0,0,1,0,1,0,0
3222,3,223,2,9,4211,0,0,0,0,1,0,0,0,1,0,1,0,0
1246,6,271,5,14,2514,1,0,0,1,0,0,1,0,0,0,1,0,0
7191,6,284,4,4,1652,1,0,1,0,0,0,0,0,1,0,0,1,0
9897,3,220,3,5,4407,0,0,1,0,0,0,0,0,1,0,1,0,1
10199,4,248,5,7,1789,1,0,0,0,0,1,0,0,1,0,1,0,1
2025,3,183,3,44,2896,1,0,1,0,0,0,0,0,1,0,1,0,1
8090,3,245,3,4,5449,0,1,0,0,0,0,1,0,0,0,1,0,1
4527,3,174,6,4,4910,1,0,1,0,0,0,1,0,0,0,0,1,1
139,5,237,2,10,3860,1,0,0,0,0,1,1,0,0,0,1,0,1
5674,3,141,3,10,5775,0,0,0,1,0,0,0,0,1,0,0,1,0
10401,4,187,3,5,4897,1,0,1,0,0,0,0,1,0,1,0,0,1
6288,4,264,6,6,1637,0,0,0,0,1,0,0,1,0,0,1,0,0
38,5,215,4,56,3905,1,1,0,0,0,0,0,0,1,0,1,0,1
3329,4,168,2,2,5776,0,0,0,0,0,1,0,0,1,1,0,0,0
225,5,255,4,38,2771,1,0,1,0,0,0,0,0,1,0,0,1,1
4485,5,215,4,5,5915,1,0,1,0,0,0,0,0,1,0,1,0,0
6717,4,204,3,2,5010,0,0,1,0,0,0,1,0,0,0,0,1,0
788,5,134,2,20,1549,1,1,0,0,0,0,0,0,1,0,1,0,1
2625,4,170,2,34,1512,1,0,1,0,0,0,0,0,1,0,1,0,0
1982,4,134,4,36,1191,1,1,0,0,0,0,0,0,1,0,1,0,0
7866,6,278,5,2,4361,1,0,0,0,1,0,0,0,1,0,0,1,1
9276,3,262,4,5,4782,0,0,0,0,1,0,0,0,1,0,1,0,0
4882,4,181,4,8,5106,0,0,0,1,0,0,0,0,1,0,1,0,1
7725,6,260,5,9,1667,1,0,1,0,0,0,0,0,1,0,1,0,1
8417,3,202,2,7,4598,0,0,0,0,0,1,0,0,1,0,0,1,0
8993,3,260,3,8,5215,0,0,0,0,0,1,0,0,1,0,1,0,1
1539,3,184,4,10,2972,1,0,1,0,0,0,0,0,1,0,0,1,1
6447,3,170,4,3,4049,0,0,1,0,0,0,1,0,0,0,1,0,0
7428,4,221,3,10,4126,0,0,0,0,1,0,0,0,1,0,1,0,0
9944,7,268,4,9,1754,1,1,0,0,0,0,0,0,1,0,0,1,1
7556,3,261,3,4,5482,1,1,0,0,0,0,0,0,1,0,0,1,0
5665,3,186,3,4,5501,1,0,0,0,0,1,0,0,1,0,0,1,1
8095,4,266,5,3,4578,0,0,0,0,0,1,1,0,0,0,0,1,0
6154,3,148,3,7,5685,0,0,0,1,0,0,0,1,0,0,1,0,1
3691,3,272,2,3,5638,1,0,0,0,0,1,0,1,0,0,1,0,0
10362,3,217,3,6,4887,0,0,0,0,1,0,0,0,1,0,1,0,1
6337,4,186,3,2,4437,1,0,0,0,0,1,0,0,1,0,1,0,0
6935,4,169,6,6,4179,0,0,0,0,0,1,0,0,1,0,1,0,1
8976,3,233,3,7,5838,0,0,0,0,1,0,0,0,1,0,0,1,0
8851,6,189,3,3,5062,0,0,0,0,0,1,0,0,1,0,0,1,1
6398,3,145,3,7,4079,1,1,0,0,0,0,0,0,1,0,1,0,1
10485,4,259,6,8,1096,1,0,1,0,0,0,0,0,1,0,0,1,0
6315,5,257,5,7,1565,1,0,1,0,0,0,1,0,0,0,0,1,1
706,3,223,3,53,3670,1,0,0,1,0,0,0,0,1,0,0,1,0
5644,4,192,3,3,4130,1,0,0,1,0,0,0,0,1,0,1,0,1
2150,4,214,2,57,2078,1,1,0,0,0,0,0,0,1,0,1,0,0
4431,4,257,3,8,5045,1,0,1,0,0,0,0,0,1,0,0,1,0
1766,4,218,4,50,3990,1,1,0,0,0,0,0,1,0,0,1,0,1
8435,3,234,3,6,5652,0,0,0,0,0,1,0,0,1,0,1,0,1
9412,6,304,4,9,1401,0,0,0,1,0,0,0,0,1,0,1,0,1
3963,4,213,3,7,4114,0,0,1,0,0,0,0,1,0,0,0,1,1
6383,6,261,5,1,5442,0,0,0,0,0,1,0,0,1,0,1,0,0
6083,5,261,4,6,4852,0,0,0,0,0,1,0,0,1,1,0,0,1
10496,4,251,2,2,4839,1,1,0,0,0,0,0,0,1,0,1,0,1
5348,4,263,4,9,4390,0,1,0,0,0,0,1,0,0,0,1,0,0
3836,3,215,2,8,5683,0,1,0,0,0,0,1,0,0,0,1,0,1
3109,4,265,4,40,2637,1,0,0,0,0,1,0,0,1,0,0,1,1
2651,3,162,4,25,1316,1,0,0,0,0,1,0,0,1,0,1,0,0
6795,3,178,8,6,4146,0,0,1,0,0,0,0,0,1,0,0,1,1
8353,6,272,4,2,1018,0,0,0,0,0,1,1,0,0,0,1,0,1
3018,4,219,2,21,3830,1,0,0,0,1,0,1,0,0,0,0,1,1
10399,4,189,10,5,5470,0,0,0,0,0,1,0,1,0,0,0,1,1
159,3,149,3,63,1946,1,0,1,0,0,0,0,0,1,0,1,0,1
8047,6,301,5,8,1443,0,0,0,0,0,1,0,0,1,0,1,0,0
6402,4,144,2,8,5478,0,0,0,0,1,0,0,0,1,0,0,1,0
8876,6,281,4,8,1884,0,1,0,0,0,0,0,0,1,0,0,1,1
3905,5,141,4,5,5444,1,0,0,0,0,1,0,0,1,1,0,0,1
8396,3,239,2,2,5625,0,1,0,0,0,0,0,0,1,0,0,1,1
10004,4,204,3,3,4310,0,1,0,0,0,0,1,0,0,0,0,1,0
3311,4,206,2,4,5159,0,0,0,0,0,1,0,0,1,0,0,1,0
4251,4,266,3,4,4197,1,0,1,0,0,0,1,0,0,0,0,1,0
3560,4,185,10,7,4818,1,1,0,0,0,0,1,0,0,1,0,0,1
1713,4,200,3,45,2486,1,0,1,0,0,0,0,0,1,0,0,1,0
3001,3,203,3,4,3114,1,0,0,0,0,1,0,1,0,0,1,0,0
7848,3,211,3,5,4058,1,0,0,0,1,0,0,0,1,0,0,1,0
2219,6,240,4,62,2400,1,0,0,0,0,1,0,0,1,0,0,1,0
4777,3,211,3,4,4354,1,0,0,0,0,1,0,1,0,1,0,0,1
3712,5,105,5,10,5418,1,0,0,1,0,0,1,0,0,0,1,0,1
6654,3,202,2,3,5746,1,0,0,0,1,0,0,0,1,0,0,1,0
9802,4,204,3,3,4001,0,0,0,1,0,0,0,0,1,0,0,1,1
2317,3,215,6,42,3715,1,0,0,0,0,1,0,1,0,1,0,0,0
3342,3,145,3,4,5361,1,0,0,0,1,0,0,0,1,0,0,1,0
6872,2,164,5,7,1243,0,1,0,0,0,0,0,0,1,0,1,0,0
9405,6,309,4,8,1930,0,0,1,0,0,0,0,0,1,0,0,1,1
7392,5,174,3,6,5064,1,0,0,0,1,0,0,1,0,0,0,1,1
9008,6,130,5,3,5654,0,1,0,0,0,0,0,0,1,0,1,0,0
5911,3,149,5,9,4310,0,0,0,0,0,1,0,0,1,0,0,1,1
6377,3,237,2,2,4263,1,0,0,0,0,1,0,0,1,0,1,0,1
8339,5,291,4,3,1663,1,0,0,0,0,1,0,1,0,0,1,0,1
3035,5,184,2,27,3276,1,0,0,0,0,1,0,0,1,0,0,1,0
5811,5,285,2,2,4505,1,0,1,0,0,0,0,0,1,0,1,0,0
4362,4,217,2,2,5442,0,0,0,0,1,0,0,1,0,0,0,1,1
3919,4,260,2,1,5001,1,0,0,0,0,1,0,0,1,0,1,0,1
3989,3,212,3,8,5214,0,0,0,0,0,1,1,0,0,0,1,0,1
4188,4,263,5,9,5731,1,0,0,0,1,0,0,0,1,0,1,0,0
1854,4,238,10,38,3556,1,0,0,0,1,0,0,0,1,0,0,1,0
6291,5,265,5,8,1867,0,0,1,0,0,0,0,1,0,0,0,1,1
10830,5,142,4,5,5749,0,0,0,0,1,0,1,0,0,0,1,0,0
9286,3,180,3,2,5659,1,0,0,1,0,0,0,0,1,0,1,0,0
558,4,164,3,15,1489,1,0,0,0,1,0,1,0,0,0,0,1,0
9058,3,227,3,5,4167,1,0,0,1,0,0,1,0,0,1,0,0,0
3738,5,263,2,8,4914,0,0,0,0,1,0,0,0,1,1,0,0,1
3538,4,137,3,10,4820,1,0,0,1,0,0,0,1,0,0,0,1,1
4963,5,164,3,7,4540,1,0,0,0,0,1,0,0,1,0,1,0,0
10620,4,156,3,8,4701,1,0,0,0,1,0,0,0,1,0,0,1,1
6643,5,183,3,10,5023,0,0,0,0,0,1,0,0,1,0,1,0,1
8534,4,134,4,5,4507,1,1,0,0,0,0,0,0,1,0,1,0,1
2854,3,261,2,52,3340,1,0,0,1,0,0,0,1,0,0,0,1,1
