,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F
7544,5,2,146,3,7,4524,1,0,0,0,0,1,0,0,0,1,0,1
2593,3,2,140,3,42,1465,0,0,0,0,1,0,1,0,0,1,0,1
2927,2,3,164,2,64,1689,0,0,0,0,1,0,0,1,0,0,1,0
3038,4,3,276,4,3,3889,1,0,0,0,0,0,0,1,0,1,0,1
10171,6,2,137,10,4,4490,0,0,0,0,1,0,0,1,0,1,0,1
6049,4,1,239,5,1,1780,0,0,0,0,1,0,0,1,0,1,0,1
9812,4,3,253,3,5,5703,1,0,0,0,0,0,0,1,0,1,0,1
5697,3,1,191,5,2,4956,0,1,0,0,0,0,0,1,0,0,1,0
329,4,5,243,4,41,2782,0,0,0,0,1,0,0,1,0,0,1,1
5423,5,3,134,2,10,5279,0,0,0,0,1,0,0,1,0,1,0,0
5194,4,2,262,3,9,4941,0,0,1,0,0,0,1,0,0,1,0,1
9859,4,4,160,4,1,5520,0,0,0,0,1,1,0,0,0,1,0,0
8152,4,5,254,3,3,4404,0,0,1,0,0,0,0,1,0,0,1,1
1833,3,5,245,4,26,2072,0,1,0,0,0,0,0,1,1,0,0,1
8113,3,2,210,3,8,4011,0,0,0,0,1,0,0,1,0,0,1,0
7878,3,3,250,2,8,5067,0,0,0,1,0,0,0,1,0,0,1,1
6578,2,1,164,5,8,1886,1,0,0,0,0,1,0,0,0,1,0,1
2110,4,5,180,3,24,1513,0,0,1,0,0,0,0,1,0,1,0,1
1947,3,2,116,2,22,1430,0,1,0,0,0,0,0,1,0,1,0,1
947,4,1,264,2,8,2436,0,0,0,0,1,0,1,0,0,1,0,0
7151,6,5,283,4,3,1374,0,0,0,0,1,0,0,1,0,1,0,0
6028,6,4,262,4,10,1068,0,0,1,0,0,1,0,0,0,1,0,1
10716,5,2,224,5,2,1022,0,0,0,1,0,0,0,1,0,1,0,1
7743,4,5,221,5,5,1608,0,1,0,0,0,0,0,1,0,1,0,1
6685,3,3,243,2,3,4675,0,0,0,0,1,0,0,1,0,1,0,0
10018,3,2,247,3,8,5194,0,0,1,0,0,0,0,1,0,0,1,0
3235,5,4,182,2,2,4554,0,0,0,0,1,0,0,1,0,0,1,0
3933,6,3,280,3,7,4620,0,1,0,0,0,0,0,1,0,1,0,0
5344,4,3,241,2,4,5942,0,0,1,0,0,1,0,0,0,0,1,1
10534,5,1,152,3,3,5981,0,0,1,0,0,0,1,0,0,0,1,1
8257,6,4,254,4,2,1174,0,0,0,0,1,0,0,1,0,1,0,0
9664,2,5,181,5,5,1043,0,0,1,0,0,0,0,1,0,0,1,1
8238,5,3,145,3,3,4077,0,0,0,1,0,0,0,1,0,1,0,0
5273,6,2,247,4,1,1668,0,0,0,0,1,0,0,1,0,0,1,0
6330,4,3,236,4,1,5783,0,0,0,1,0,0,0,1,0,0,1,0
10835,5,4,143,2,8,5291,0,0,0,0,1,1,0,0,0,1,0,1
1390,4,5,186,3,16,2693,0,0,1,0,0,0,0,1,0,1,0,1
4312,3,5,150,4,8,4433,0,0,1,0,0,0,0,1,0,0,1,1
2476,3,4,243,3,60,2980,0,0,1,0,0,1,0,0,0,1,0,1
8563,3,2,177,2,9,4648,0,0,0,0,1,0,0,1,1,0,0,0
6035,5,2,130,4,1,1877,0,0,0,0,1,1,0,0,0,0,1,1
6369,3,2,154,3,1,5322,0,1,0,0,0,0,0,1,0,0,1,0
3875,4,5,155,3,8,4924,0,0,0,0,1,0,0,1,0,0,1,0
5314,3,5,181,4,1,4971,0,0,1,0,0,0,0,1,1,0,0,1
475,4,5,133,3,59,1092,0,0,0,0,1,0,0,1,0,1,0,0
7700,5,4,199,5,6,5210,1,0,0,0,0,0,0,1,0,0,1,0
5483,3,4,252,4,10,5495,0,0,0,0,1,1,0,0,0,1,0,1
7071,3,1,198,2,8,4940,0,1,0,0,0,0,0,1,0,1,0,1
3011,4,5,157,4,12,1038,0,0,0,0,1,1,0,0,0,0,1,1
2758,5,5,149,7,50,1346,0,0,1,0,0,0,0,1,0,0,1,1
7617,5,1,256,4,5,4970,0,1,0,0,0,0,0,1,0,0,1,1
265,7,2,203,5,61,1856,0,0,0,0,1,0,1,0,0,0,1,1
10772,4,4,229,5,7,1716,1,0,0,0,0,0,0,1,0,0,1,1
5786,6,5,269,4,5,1264,1,0,0,0,0,0,0,1,0,1,0,0
5505,6,3,304,5,10,1254,0,1,0,0,0,0,0,1,0,0,1,1
10712,4,2,233,5,8,1097,1,0,0,0,0,0,0,1,0,1,0,1
5075,3,1,197,5,6,5919,0,0,0,0,1,1,0,0,0,0,1,1
4507,6,1,174,10,1,5784,0,0,0,0,1,0,1,0,0,0,1,1
1431,5,5,180,5,35,1725,0,1,0,0,0,0,0,1,0,0,1,0
4621,3,3,149,4,3,5944,0,0,0,0,1,0,0,1,0,0,1,1
10563,4,5,219,2,4,4197,0,1,0,0,0,1,0,0,0,1,0,0
4782,3,4,144,3,8,5867,0,0,0,1,0,0,1,0,0,0,1,0
4065,5,4,227,2,10,4734,0,1,0,0,0,0,0,1,0,0,1,0
6894,6,5,308,4,2,1125,0,0,0,1,0,0,0,1,0,1,0,0
5696,3,1,183,2,5,5329,1,0,0,0,0,0,0,1,0,1,0,0
1359,5,5,263,2,59,3238,0,1,0,0,0,0,1,0,0,0,1,0
1566,5,1,159,4,38,1277,0,0,0,1,0,0,0,1,0,1,0,0
8247,4,5,270,10,9,5085,0,1,0,0,0,0,0,1,0,0,1,0
6115,5,1,193,2,1,4450,0,0,0,0,1,0,0,1,0,0,1,1
1450,3,4,285,6,27,2249,0,0,1,0,0,0,0,1,0,1,0,1
6823,2,1,164,5,4,1708,0,0,0,0,1,0,1,0,0,1,0,0
306,3,1,243,4,59,3838,0,0,0,1,0,0,0,1,1,0,0,0
8832,5,1,237,5,8,1150,0,0,0,1,0,0,0,1,0,0,1,1
4239,5,2,152,3,5,5502,0,1,0,0,0,0,1,0,1,0,0,1
10655,4,4,255,6,5,1708,0,0,0,0,1,0,0,1,0,1,0,0
8922,5,5,229,5,2,1975,0,0,0,1,0,0,0,1,0,0,1,0
730,4,5,264,3,16,2245,0,0,1,0,0,0,0,1,0,0,1,0
8987,5,2,235,2,10,4938,0,0,0,0,1,0,0,1,0,1,0,1
10955,2,5,125,4,5,5866,0,0,0,0,1,1,0,0,0,1,0,0
3891,3,4,243,2,7,4024,0,1,0,0,0,0,0,1,1,0,0,0
1658,5,2,240,7,47,2174,1,0,0,0,0,1,0,0,0,0,1,1
1076,3,4,195,3,10,2021,1,0,0,0,0,0,1,0,0,0,1,0
454,4,5,133,3,53,1467,0,0,1,0,0,0,0,1,0,1,0,1
7064,3,1,101,5,3,4807,1,0,0,0,0,0,0,1,0,1,0,1
10117,4,1,243,3,9,4277,0,0,0,0,1,0,1,0,1,0,0,1
319,4,5,213,4,39,2381,0,0,0,0,1,0,0,1,0,1,0,0
2862,5,2,225,3,29,2411,0,0,0,1,0,0,1,0,0,0,1,1
10339,4,5,265,2,6,4660,0,0,0,0,1,0,0,1,0,1,0,1
6565,5,2,259,5,3,1724,0,0,0,0,1,0,1,0,0,1,0,1
3866,2,2,157,2,9,5875,1,0,0,0,0,0,0,1,0,0,1,0
8314,7,2,281,4,6,1118,0,0,1,0,0,0,0,1,0,1,0,1
5752,4,4,236,3,10,4347,0,0,1,0,0,1,0,0,0,1,0,0
1468,5,5,224,3,48,2298,0,0,1,0,0,0,0,1,0,0,1,1
1072,4,4,198,2,5,2270,0,0,1,0,0,0,1,0,0,1,0,1
9299,3,3,173,2,5,4703,0,0,0,0,1,0,1,0,0,1,0,0
1551,3,3,246,3,45,3945,0,1,0,0,0,0,0,1,0,0,1,1
5272,6,2,286,4,9,1418,0,0,1,0,0,0,0,1,0,1,0,0
3326,4,2,156,3,3,5923,1,0,0,0,0,0,0,1,0,1,0,0
9199,4,1,240,4,10,5965,0,0,0,0,1,0,0,1,0,1,0,0
5606,5,2,135,2,4,5405,1,0,0,0,0,0,1,0,0,0,1,0
5585,5,4,261,6,4,5349,0,0,0,0,1,0,0,1,0,0,1,1
10104,2,4,252,4,4,4787,0,0,0,1,0,0,0,1,0,0,1,0
9624,6,3,244,5,1,1847,0,0,0,1,0,0,0,1,0,0,1,1
2979,5,2,208,8,62,3450,0,1,0,0,0,0,0,1,0,1,0,0
7775,4,5,239,3,1,5482,0,0,0,0,1,0,0,1,0,0,1,0
10348,5,4,187,4,1,4147,0,0,1,0,0,0,0,1,0,0,1,1
4007,5,2,229,3,1,5189,0,0,0,0,1,0,0,1,0,1,0,0
10231,2,1,232,6,2,5281,0,0,0,0,1,0,0,1,0,1,0,1
5446,4,1,236,3,4,4248,0,0,1,0,0,0,0,1,0,1,0,1
3626,4,3,227,3,10,5491,1,0,0,0,0,0,0,1,0,0,1,1
5707,4,4,149,2,9,4605,0,0,0,0,1,0,0,1,0,0,1,1
10475,5,1,258,5,9,1856,0,0,0,0,1,0,0,1,1,0,0,1
8699,3,1,162,3,7,5073,0,0,0,0,1,0,0,1,0,1,0,0
7422,6,1,255,4,9,1575,0,0,0,1,0,0,0,1,0,1,0,0
7771,3,3,167,4,1,5301,0,0,0,0,1,0,0,1,0,0,1,0
3103,3,5,159,3,46,1857,0,0,0,0,1,0,0,1,0,1,0,0
3507,3,5,206,3,6,5618,0,1,0,0,0,0,0,1,0,0,1,1
1469,3,3,167,3,42,1363,0,0,0,0,1,0,0,1,0,0,1,1
2017,3,1,231,2,12,2123,0,0,0,0,1,0,0,1,0,1,0,1
4769,4,4,259,2,8,4672,0,0,0,0,1,0,1,0,0,0,1,1
3287,3,1,135,3,9,4511,0,0,0,0,1,1,0,0,0,1,0,0
1654,3,3,180,3,56,1684,0,0,1,0,0,1,0,0,1,0,0,1
3340,4,3,186,2,7,4947,0,0,1,0,0,0,0,1,0,1,0,0
6896,6,2,291,4,9,1241,1,0,0,0,0,0,0,1,0,1,0,0
3491,4,2,223,3,3,5121,0,0,0,0,1,0,0,1,0,0,1,0
1049,6,5,237,5,63,2573,0,0,0,0,1,0,0,1,1,0,0,1
4678,5,4,210,3,6,5102,0,0,1,0,0,0,0,1,0,0,1,1
511,5,2,172,3,65,1667,0,0,0,0,1,0,0,1,0,0,1,0
8336,5,2,221,6,2,1781,1,0,0,0,0,0,1,0,0,0,1,0
16,3,4,143,2,6,1194,0,0,1,0,0,1,0,0,0,0,1,1
5562,4,4,228,4,1,5573,0,0,0,1,0,0,0,1,1,0,0,0
4183,4,3,257,3,1,5843,0,0,0,0,1,0,0,1,0,1,0,1
4324,4,1,277,5,3,1527,0,0,1,0,0,0,0,1,0,0,1,0
9877,3,4,243,3,6,4950,0,0,0,0,1,1,0,0,0,0,1,0
3175,2,3,134,3,6,4444,0,0,0,0,1,0,0,1,0,1,0,0
10240,5,1,189,4,10,4166,0,0,1,0,0,0,0,1,0,1,0,1
10031,4,1,139,3,7,4275,0,0,0,0,1,0,0,1,0,0,1,1
4270,5,3,101,5,1,4014,0,0,1,0,0,0,0,1,0,0,1,1
3735,6,1,170,3,10,4858,0,1,0,0,0,0,0,1,0,1,0,1
187,2,1,222,2,5,3778,0,0,0,0,1,0,0,1,0,0,1,0
6201,4,4,251,2,6,4376,0,1,0,0,0,0,0,1,0,0,1,1
9193,7,4,264,4,6,1265,0,0,0,0,1,1,0,0,0,0,1,0
7065,2,3,263,4,9,5390,0,1,0,0,0,0,0,1,0,0,1,0
3505,4,4,222,2,5,5660,0,0,0,0,1,0,0,1,0,1,0,0
634,3,1,141,3,6,1361,0,0,1,0,0,0,0,1,0,1,0,0
7989,4,1,173,4,1,5789,0,1,0,0,0,0,0,1,0,1,0,1
10424,5,5,272,2,1,4883,1,0,0,0,0,1,0,0,0,1,0,0
273,2,3,183,2,52,3199,0,1,0,0,0,1,0,0,0,0,1,1
2022,4,4,264,2,12,2203,0,0,0,1,0,0,0,1,0,0,1,1
9915,5,3,275,5,2,1816,0,1,0,0,0,0,0,1,0,1,0,1
4077,4,5,233,4,6,4705,0,1,0,0,0,0,0,1,0,1,0,1
8553,5,4,232,5,10,1512,0,1,0,0,0,0,0,1,0,1,0,0
9066,5,5,196,3,7,4084,0,0,0,1,0,0,0,1,0,0,1,0
10039,5,3,229,2,1,5294,0,0,0,0,1,0,0,1,0,0,1,1
8310,6,3,264,4,5,1397,0,0,0,1,0,0,0,1,0,0,1,0
10641,3,4,133,4,10,4571,0,1,0,0,0,0,0,1,0,1,0,1
5064,3,5,162,2,4,4495,0,0,0,1,0,1,0,0,0,1,0,0
1161,5,2,167,8,28,1921,0,1,0,0,0,0,0,1,0,1,0,0
8605,6,5,246,4,2,1581,0,0,0,0,1,0,1,0,0,0,1,0
3663,4,3,226,2,8,4526,0,1,0,0,0,0,0,1,0,1,0,1
2761,3,1,193,2,23,2728,0,0,0,0,1,0,0,1,0,0,1,1
9326,4,5,196,5,2,5840,1,0,0,0,0,1,0,0,0,1,0,1
4260,4,2,203,3,4,5699,0,0,0,1,0,1,0,0,0,1,0,1
8575,3,1,269,8,4,4290,0,0,0,0,1,0,0,1,0,0,1,1
7543,4,4,155,3,6,5033,0,0,0,0,1,1,0,0,0,0,1,0
5914,4,5,205,4,5,5264,0,0,1,0,0,0,0,1,0,0,1,1
9783,4,3,99,6,9,5903,0,1,0,0,0,0,0,1,0,0,1,0
3045,5,1,166,2,44,1647,0,1,0,0,0,0,0,1,0,1,0,0
822,3,3,268,3,33,3872,0,0,0,1,0,1,0,0,0,1,0,1
2369,4,5,144,3,9,1526,0,0,0,0,1,0,0,1,0,1,0,0
10013,4,1,266,3,10,4382,0,0,0,0,1,1,0,0,0,1,0,0
3603,4,2,275,6,9,1890,0,1,0,0,0,0,0,1,0,0,1,0
1994,3,1,165,3,1,1417,1,0,0,0,0,0,0,1,0,1,0,1
9831,2,3,269,2,3,5976,0,1,0,0,0,0,0,1,0,1,0,0
242,2,2,135,3,58,1734,1,0,0,0,0,0,0,1,0,1,0,0
6878,5,1,237,5,2,1429,1,0,0,0,0,0,0,1,0,0,1,1
1908,5,3,220,3,37,2294,0,0,0,1,0,0,1,0,0,1,0,0
3360,2,5,209,5,10,4623,0,0,0,1,0,0,0,1,0,0,1,1
6078,4,1,239,4,2,5502,0,0,0,1,0,0,0,1,1,0,0,0
10513,3,4,205,3,7,4490,0,0,0,0,1,0,0,1,0,1,0,1
1696,4,3,246,3,52,2440,0,0,1,0,0,0,0,1,0,0,1,1
7012,4,3,197,3,2,4410,0,0,1,0,0,0,0,1,0,1,0,0
3510,6,3,121,3,10,5208,0,0,0,1,0,0,0,1,0,0,1,1
2483,6,3,167,6,15,1278,0,0,0,0,1,0,0,1,0,1,0,1
2573,3,5,165,3,33,1500,0,0,0,0,1,0,0,1,0,0,1,0
4859,5,3,231,2,8,5743,0,0,0,0,1,0,0,1,0,1,0,0
2752,5,4,167,7,23,1691,0,0,1,0,0,1,0,0,0,0,1,1
9431,6,5,285,4,8,1028,0,0,0,0,1,0,1,0,0,1,0,0
4635,5,2,272,2,1,5412,0,1,0,0,0,0,1,0,0,1,0,1
9899,3,1,109,6,6,5457,0,0,0,0,1,0,0,1,0,1,0,1
3883,3,4,238,3,8,5337,0,0,0,0,1,0,0,1,0,0,1,1
2794,2,1,159,2,44,1213,0,0,1,0,0,0,0,1,0,1,0,1
4638,5,4,223,2,5,4424,0,0,0,1,0,0,1,0,0,1,0,0
4502,4,5,148,8,6,5700,1,0,0,0,0,0,1,0,0,0,1,0
7445,5,3,224,2,1,5603,0,0,0,0,1,0,0,1,0,0,1,0
2123,3,2,238,2,29,3728,0,0,0,0,1,0,0,1,0,1,0,1
618,4,1,133,4,64,1834,0,0,0,1,0,0,0,1,0,0,1,0
4778,4,1,245,2,5,5324,1,0,0,0,0,0,1,0,0,1,0,0
864,3,4,187,2,8,3725,0,0,0,1,0,0,0,1,1,0,0,0
8562,4,4,229,5,7,1049,0,0,0,1,0,0,0,1,0,1,0,0
6237,3,3,238,2,4,4206,0,1,0,0,0,0,0,1,0,0,1,1
5647,6,5,273,5,10,5756,0,0,0,0,1,0,0,1,0,0,1,0
10815,3,2,216,2,1,4350,0,1,0,0,0,0,1,0,0,1,0,1
1464,3,2,226,3,11,3708,0,0,0,1,0,0,0,1,0,1,0,0
3222,3,4,223,2,9,4211,0,0,0,1,0,0,0,1,0,1,0,0
1246,6,2,271,5,14,2514,0,0,1,0,0,1,0,0,0,1,0,0
7191,6,3,284,4,4,1652,0,1,0,0,0,0,0,1,0,0,1,0
9897,3,5,220,3,5,4407,0,1,0,0,0,0,0,1,0,1,0,1
10199,4,3,248,5,7,1789,0,0,0,0,1,0,0,1,0,1,0,1
2025,3,2,183,3,44,2896,0,1,0,0,0,0,0,1,0,1,0,1
8090,3,1,245,3,4,5449,1,0,0,0,0,1,0,0,0,1,0,1
4527,3,1,174,6,4,4910,0,1,0,0,0,1,0,0,0,0,1,1
139,5,1,237,2,10,3860,0,0,0,0,1,1,0,0,0,1,0,1
5674,3,5,141,3,10,5775,0,0,1,0,0,0,0,1,0,0,1,0
10401,4,2,187,3,5,4897,0,1,0,0,0,0,1,0,1,0,0,1
6288,4,5,264,6,6,1637,0,0,0,1,0,0,1,0,0,1,0,0
38,5,1,215,4,56,3905,1,0,0,0,0,0,0,1,0,1,0,1
3329,4,5,168,2,2,5776,0,0,0,0,1,0,0,1,1,0,0,0
225,5,4,255,4,38,2771,0,1,0,0,0,0,0,1,0,0,1,1
4485,5,3,215,4,5,5915,0,1,0,0,0,0,0,1,0,1,0,0
6717,4,3,204,3,2,5010,0,1,0,0,0,1,0,0,0,0,1,0
788,5,4,134,2,20,1549,1,0,0,0,0,0,0,1,0,1,0,1
2625,4,4,170,2,34,1512,0,1,0,0,0,0,0,1,0,1,0,0
1982,4,5,134,4,36,1191,1,0,0,0,0,0,0,1,0,1,0,0
7866,6,5,278,5,2,4361,0,0,0,1,0,0,0,1,0,0,1,1
9276,3,3,262,4,5,4782,0,0,0,1,0,0,0,1,0,1,0,0
4882,4,3,181,4,8,5106,0,0,1,0,0,0,0,1,0,1,0,1
7725,6,2,260,5,9,1667,0,1,0,0,0,0,0,1,0,1,0,1
8417,3,1,202,2,7,4598,0,0,0,0,1,0,0,1,0,0,1,0
8993,3,4,260,3,8,5215,0,0,0,0,1,0,0,1,0,1,0,1
1539,3,2,184,4,10,2972,0,1,0,0,0,0,0,1,0,0,1,1
6447,3,3,170,4,3,4049,0,1,0,0,0,1,0,0,0,1,0,0
7428,4,2,221,3,10,4126,0,0,0,1,0,0,0,1,0,1,0,0
9944,7,5,268,4,9,1754,1,0,0,0,0,0,0,1,0,0,1,1
7556,3,3,261,3,4,5482,1,0,0,0,0,0,0,1,0,0,1,0
5665,3,4,186,3,4,5501,0,0,0,0,1,0,0,1,0,0,1,1
8095,4,2,266,5,3,4578,0,0,0,0,1,1,0,0,0,0,1,0
6154,3,5,148,3,7,5685,0,0,1,0,0,0,1,0,0,1,0,1
3691,3,5,272,2,3,5638,0,0,0,0,1,0,1,0,0,1,0,0
10362,3,3,217,3,6,4887,0,0,0,1,0,0,0,1,0,1,0,1
6337,4,3,186,3,2,4437,0,0,0,0,1,0,0,1,0,1,0,0
6935,4,2,169,6,6,4179,0,0,0,0,1,0,0,1,0,1,0,1
8976,3,2,233,3,7,5838,0,0,0,1,0,0,0,1,0,0,1,0
8851,6,3,189,3,3,5062,0,0,0,0,1,0,0,1,0,0,1,1
6398,3,4,145,3,7,4079,1,0,0,0,0,0,0,1,0,1,0,1
10485,4,2,259,6,8,1096,0,1,0,0,0,0,0,1,0,0,1,0
6315,5,3,257,5,7,1565,0,1,0,0,0,1,0,0,0,0,1,1
706,3,5,223,3,53,3670,0,0,1,0,0,0,0,1,0,0,1,0
5644,4,2,192,3,3,4130,0,0,1,0,0,0,0,1,0,1,0,1
2150,4,3,214,2,57,2078,1,0,0,0,0,0,0,1,0,1,0,0
4431,4,2,257,3,8,5045,0,1,0,0,0,0,0,1,0,0,1,0
1766,4,3,218,4,50,3990,1,0,0,0,0,0,1,0,0,1,0,1
8435,3,3,234,3,6,5652,0,0,0,0,1,0,0,1,0,1,0,1
9412,6,3,304,4,9,1401,0,0,1,0,0,0,0,1,0,1,0,1
3963,4,5,213,3,7,4114,0,1,0,0,0,0,1,0,0,0,1,1
6383,6,5,261,5,1,5442,0,0,0,0,1,0,0,1,0,1,0,0
6083,5,1,261,4,6,4852,0,0,0,0,1,0,0,1,1,0,0,1
10496,4,1,251,2,2,4839,1,0,0,0,0,0,0,1,0,1,0,1
5348,4,1,263,4,9,4390,1,0,0,0,0,1,0,0,0,1,0,0
3836,3,4,215,2,8,5683,1,0,0,0,0,1,0,0,0,1,0,1
3109,4,2,265,4,40,2637,0,0,0,0,1,0,0,1,0,0,1,1
2651,3,2,162,4,25,1316,0,0,0,0,1,0,0,1,0,1,0,0
6795,3,4,178,8,6,4146,0,1,0,0,0,0,0,1,0,0,1,1
8353,6,1,272,4,2,1018,0,0,0,0,1,1,0,0,0,1,0,1
3018,4,5,219,2,21,3830,0,0,0,1,0,1,0,0,0,0,1,1
10399,4,2,189,10,5,5470,0,0,0,0,1,0,1,0,0,0,1,1
159,3,3,149,3,63,1946,0,1,0,0,0,0,0,1,0,1,0,1
8047,6,5,301,5,8,1443,0,0,0,0,1,0,0,1,0,1,0,0
6402,4,5,144,2,8,5478,0,0,0,1,0,0,0,1,0,0,1,0
8876,6,3,281,4,8,1884,1,0,0,0,0,0,0,1,0,0,1,1
3905,5,4,141,4,5,5444,0,0,0,0,1,0,0,1,1,0,0,1
8396,3,3,239,2,2,5625,1,0,0,0,0,0,0,1,0,0,1,1
10004,4,1,204,3,3,4310,1,0,0,0,0,1,0,0,0,0,1,0
3311,4,2,206,2,4,5159,0,0,0,0,1,0,0,1,0,0,1,0
4251,4,2,266,3,4,4197,0,1,0,0,0,1,0,0,0,0,1,0
3560,4,3,185,10,7,4818,1,0,0,0,0,1,0,0,1,0,0,1
1713,4,2,200,3,45,2486,0,1,0,0,0,0,0,1,0,0,1,0
3001,3,3,203,3,4,3114,0,0,0,0,1,0,1,0,0,1,0,0
7848,3,5,211,3,5,4058,0,0,0,1,0,0,0,1,0,0,1,0
2219,6,5,240,4,62,2400,0,0,0,0,1,0,0,1,0,0,1,0
4777,3,3,211,3,4,4354,0,0,0,0,1,0,1,0,1,0,0,1
3712,5,5,105,5,10,5418,0,0,1,0,0,1,0,0,0,1,0,1
6654,3,5,202,2,3,5746,0,0,0,1,0,0,0,1,0,0,1,0
9802,4,2,204,3,3,4001,0,0,1,0,0,0,0,1,0,0,1,1
2317,3,1,215,6,42,3715,0,0,0,0,1,0,1,0,1,0,0,0
3342,3,4,145,3,4,5361,0,0,0,1,0,0,0,1,0,0,1,0
6872,2,3,164,5,7,1243,1,0,0,0,0,0,0,1,0,1,0,0
9405,6,2,309,4,8,1930,0,1,0,0,0,0,0,1,0,0,1,1
7392,5,3,174,3,6,5064,0,0,0,1,0,0,1,0,0,0,1,1
9008,6,2,130,5,3,5654,1,0,0,0,0,0,0,1,0,1,0,0
5911,3,2,149,5,9,4310,0,0,0,0,1,0,0,1,0,0,1,1
6377,3,3,237,2,2,4263,0,0,0,0,1,0,0,1,0,1,0,1
8339,5,1,291,4,3,1663,0,0,0,0,1,0,1,0,0,1,0,1
3035,5,2,184,2,27,3276,0,0,0,0,1,0,0,1,0,0,1,0
5811,5,4,285,2,2,4505,0,1,0,0,0,0,0,1,0,1,0,0
4362,4,3,217,2,2,5442,0,0,0,1,0,0,1,0,0,0,1,1
3919,4,1,260,2,1,5001,0,0,0,0,1,0,0,1,0,1,0,1
3989,3,4,212,3,8,5214,0,0,0,0,1,1,0,0,0,1,0,1
4188,4,5,263,5,9,5731,0,0,0,1,0,0,0,1,0,1,0,0
1854,4,5,238,10,38,3556,0,0,0,1,0,0,0,1,0,0,1,0
6291,5,5,265,5,8,1867,0,1,0,0,0,0,1,0,0,0,1,1
10830,5,5,142,4,5,5749,0,0,0,1,0,1,0,0,0,1,0,0
9286,3,4,180,3,2,5659,0,0,1,0,0,0,0,1,0,1,0,0
558,4,2,164,3,15,1489,0,0,0,1,0,1,0,0,0,0,1,0
9058,3,2,227,3,5,4167,0,0,1,0,0,1,0,0,1,0,0,0
3738,5,4,263,2,8,4914,0,0,0,1,0,0,0,1,1,0,0,1
3538,4,3,137,3,10,4820,0,0,1,0,0,0,1,0,0,0,1,1
4963,5,1,164,3,7,4540,0,0,0,0,1,0,0,1,0,1,0,0
10620,4,3,156,3,8,4701,0,0,0,1,0,0,0,1,0,0,1,1
6643,5,1,183,3,10,5023,0,0,0,0,1,0,0,1,0,1,0,1
8534,4,3,134,4,5,4507,1,0,0,0,0,0,0,1,0,1,0,1
